ticket_id,user_query
1,"I can't login to my HackerRank account"
2,"My payment failed but money was deducted from my account!"
3,"How do I submit my code?"
4,"The API is returning a 500 error"
5,"When will I get my refund?"
6,"I can't login to my HackerRank account"
7,"Payment declined three times in a row"
8,"Someone accessed my account without permission"
9,"The server is extremely slow today"
10,"I was charged twice for the same subscription"
11,"My password reset email never arrived"
12,"API timeout errors on every request"
13,"Unauthorized transaction on my credit card"
14,"The dashboard takes 30 seconds to load"
15,"I suspect my account has been hacked"
16,"Payment gateway is completely down"
17,"Cannot sign in after changing my password"
18,"The application crashes when uploading large files"
19,"I see suspicious login attempts from another country"
20,"Server returned 503 service unavailable"
21,"My account was locked after too many failed attempts"
22,"Refund not processed after 10 business days"
23,"Database query performance is terrible"
24,"Someone changed my email address without my knowledge"
25,"The website is not loading at all - server down"